,32,16,8,4,2,1
Villanova,1,,,,,
Gonzaga,1,1,1,1,1,1
Kansas,1,1,1,,,
Kentucky,1,1,1,,,
North Carolina,1,1,1,1,1,
Duke,1,,,,,
Louisville,1,,,,,
Arizona,1,1,,,,
West Virginia,1,1,,,,
Virginia,1,,,,,
UCLA,1,1,,,,
Saint Mary's (CA),1,,,,,
Purdue,1,1,,,,
Wichita State,1,,,,,
Southern Methodist,,,,,,
Iowa State,1,,,,,
Baylor,1,1,,,,
Oregon,1,1,1,1,,
Butler,1,1,,,,
Florida,1,1,1,,,
Florida State,1,,,,,
Cincinnati,1,,,,,
Wisconsin,1,1,,,,
Michigan,1,1,,,,
Notre Dame,1,,,,,
Creighton,,,,,,
Oklahoma State,,,,,,
Kansas State,,,,,,
Miami (FL),,,,,,
Arkansas,1,,,,,
Vanderbilt,,,,,,
Rhode Island,1,,,,,
South Carolina,1,1,1,1,,
Seton Hall,,,,,,
Dayton,,,,,,
Marquette,,,,,,
Michigan State,1,,,,,
Xavier,1,1,1,,,
Middle Tennessee,1,,,,,
Virginia Commonwealth,,,,,,
Maryland,,,,,,
Northwestern,1,,,,,
Minnesota,,,,,,
Southern California,1,,,,,
Nevada,,,,,,
Princeton,,,,,,
North Carolina-Wilmington,,,,,,
Virginia Tech,,,,,,
Vermont,,,,,,
Bucknell,,,,,,
East Tennessee State,,,,,,
Winthrop,,,,,,
Florida Gulf Coast,,,,,,
New Mexico State,,,,,,
Iona,,,,,,
Kent State,,,,,,
Troy,,,,,,
Northern Kentucky,,,,,,
South Dakota State,,,,,,
North Dakota,,,,,,
Texas Southern,,,,,,
Jacksonville State,,,,,,
UC-Davis,,,,,,
Mount St. Mary's,,,,,,
